China,48,22,30,100
United States,36,39,37,112
Russia,24,13,23,60
Great Britain,19,13,19,51
Germany,16,11,14,41
Australia,14,15,17,46
South Korea,13,11,8,32
Japan,9,8,8,25
Italy,8,9,10,27
France,7,16,20,43
Netherlands,7,5,4,16
Ukraine,7,4,11,22
Kenya,6,4,6,16
Spain,5,11,3,19
Jamaica,5,4,2,11
Poland,4,5,2,11
Ethiopia,4,2,1,7
Romania,4,1,4,9
Cuba,3,10,17,30
Canada,3,9,8,20
Hungary,3,5,2,10
Norway,3,5,1,9
Brazil,3,4,10,17
Belarus,3,4,7,14
Czech Republic,3,3,1,7
Slovakia,3,3,0,6
New Zealand,3,2,4,9
Georgia,3,2,2,7
Kazakhstan,2,3,4,9
Denmark,2,2,3,7
North Korea,2,2,2,6
Thailand,2,2,2,6
Mongolia,2,2,0,4
Switzerland,2,1,4,7
Argentina,2,0,4,6
Mexico,2,0,2,4
Belgium,2,0,0,2
Zimbabwe,1,3,0,4
Slovenia,1,2,2,5
Azerbaijan,1,1,4,6
Indonesia,1,1,4,6
Bulgaria,1,1,3,5
Turkey,1,1,3,5
Chinese Taipei,1,1,2,4
Finland,1,1,2,4
Latvia,1,1,1,3
Dominican Republic,1,1,0,2
Estonia,1,1,0,2
Portugal,1,1,0,2
Trinidad and Tobago,1,1,0,2
India,1,0,2,3
Iran,1,0,1,2
Cameroon,1,0,0,1
Panama,1,0,0,1
Tunisia,1,0,0,1
Sweden,0,4,1,5
Lithuania,0,3,2,5
Nigeria,0,3,2,5
Croatia,0,2,3,5
Colombia,0,2,1,3
Greece,0,2,1,3
Armenia,0,1,4,5
Uzbekistan,0,1,3,4
Austria,0,1,2,3
Ireland,0,1,2,3
Kyrgyzstan,0,1,2,3
Serbia,0,1,2,3
Algeria,0,1,1,2
Bahamas,0,1,1,2
Morocco,0,1,1,2
Tajikistan,0,1,1,2
Chile,0,1,0,1
Ecuador,0,1,0,1
Iceland,0,1,0,1
Malaysia,0,1,0,1
Samoa,0,1,0,1
Singapore,0,1,0,1
South Africa,0,1,0,1
Sudan,0,1,0,1
Vietnam,0,1,0,1
Egypt,0,0,2,2
Afghanistan,0,0,1,1
Israel,0,0,1,1
Mauritius,0,0,1,1
Moldova,0,0,1,1
Togo,0,0,1,1
Venezuela,0,0,1,1
